"Date","ptf_ret","bmk_ret","rf"
2015-01-31,0.00396829307518121,-0.0296291918212128,0
2015-02-28,0.0627470641043861,0.0562049091390893,0
2015-03-31,-0.0313807839727828,-0.0157055456551674,0
2015-04-30,0.0057596465228329,0.00983363486086342,0
2015-05-31,0.0305891371223965,0.0128563030474176,0
2015-06-30,-0.0113908349527334,-0.0203122520978011,0
2015-07-31,0.00702576784752429,0.022589321700013,0
2015-08-31,-0.0651162754118834,-0.0609502760003947,0
2015-09-30,-0.065174331236131,-0.0255156940225522,0
2015-10-31,0.0590742691502351,0.08505943817759,0
2015-11-30,0.0653267617915223,0.00365510467728569,0
2015-12-31,-0.0133325437352119,-0.0172825795292703,1e-04
2016-01-31,-0.181818200189801,-0.0497865397347412,1e-04
2016-02-29,0.0215054666437784,-0.000825914882437329,2e-04
2016-03-31,0.118713387510207,0.0672665576597746,2e-04
2016-04-30,-0.0130685572962456,0.00394065565462487,1e-04
2016-05-31,0.0323094835578757,0.0170116552690174,1e-04
2016-06-30,-0.0102614789024991,0.00347595199853701,2e-04
2016-07-31,0.0673922174110102,0.0364710707187641,2e-04
2016-08-31,0.00116561245459268,0.00119779239632578,2e-04
2016-09-30,0.0759677390238669,5.78270669995273e-05,2e-04
2016-10-31,-0.102028881870517,-0.0173374521446736,2e-04
2016-11-30,0.00969022945113118,0.0368389883047695,1e-04
2016-12-31,-0.00298363692624637,0.0202718364612857,3e-04
2017-01-31,0.101795590948456,0.0178946645706954,4e-04
2017-02-28,0.0468063709558024,0.0392915133506972,4e-04
2017-03-31,0.0361079203019765,0.00124994093953945,3e-04
2017-04-30,0.0505011877820831,0.00992620075414496,5e-04
2017-05-31,0.126340620420929,0.0141126842633159,6e-04
2017-06-30,0.0211641349851588,0.00637509699443073,6e-04
2017-07-31,0.0232123975220553,0.020553933239277,7e-04
2017-08-31,0.152589072732388,0.00291791530243013,9e-04
2017-09-30,0.00427634787792974,0.0201491535876317,9e-04
2017-10-31,0.035639262831876,0.0235642321454066,9e-04
2017-11-30,0.04759244428495,0.0305660531558067,8e-04
2017-12-31,0.0096520058375078,0.0121276952462319,9e-04
2018-01-31,0.112190134798883,0.0563596171635987,0.0011
2018-02-28,-0.00800212215349094,-0.0363607065957358,0.0011
2018-03-31,-0.0449766017102204,-0.0274104365579391,0.0012
2018-04-30,0.000511736078751879,0.00516812378541842,0.0014
2018-05-31,0.112304957332932,0.0243090775532184,0.0014
2018-06-30,0.0344985404673077,0.00575063500771678,0.0014
2018-07-31,-0.00955970801780348,0.0370467221770965,0.0016
2018-08-31,0.115600350931044,0.0319199306979203,0.0016
2018-09-30,-0.0474848315879793,0.00594563127088055,0.0015
2018-10-31,-0.100549204613446,-0.0691043832730054,0.0019
2018-11-30,0.0439173151049694,0.0185494390402086,0.0018
2018-12-31,-0.136447183558727,-0.0880485022676163,0.0019
2019-01-31,0.157569371178355,0.0800654797694442,0.0021
2019-02-28,0.0815329859385401,0.0324157416612685,0.0018
2019-03-31,0.00365115345496259,0.018101271647927,0.0019
2019-04-30,0.0104859618158955,0.0408513110537367,0.0021
2019-05-31,-0.137441862588205,-0.0637708160158457,0.0021
2019-06-30,0.178001573029344,0.0695864665467187,0.0018
2019-07-31,0.0100040661842582,0.0151195797760153,0.0019
2019-08-31,-0.0854312863957907,-0.0167434500577585,0.0016
2019-09-30,-0.0322653271145878,0.0194578429045089,0.0018
2019-10-31,0.0312427470712344,0.0221046773195808,0.0015
2019-11-30,0.140176349659863,0.036198084729653,0.0012
2019-12-31,-0.00386009214782868,0.0290554255694957,0.0014
2020-01-31,0.0349650437737152,-0.000403974508520255,0.0013
2020-02-29,0.0200772758211603,-0.0791656234612721,0.0012
2020-03-31,-0.167297547109099,-0.12487120440296,0.0012
2020-04-30,0.257500054403217,0.126983425259878,0
2020-05-31,0.13536958774604,0.0476452648567309,1e-04
2020-06-30,0.135148107115104,0.0177346843072035,1e-04
2020-07-31,0.127050983398957,0.0588920858147455,1e-04
2020-08-31,0.186138956372083,0.0697967244924826,1e-04
2020-09-30,-0.0349312889712177,-0.0374438127874032,1e-04
2020-10-31,-0.0131521724884966,-0.0249332782143341,1e-04
2020-11-30,0.237691408437647,0.108776881111635,1e-04
2020-12-31,0.125582824392041,0.0370482406125088,1e-04
2021-01-31,0.104024443075225,-0.0101902893511318,0
2021-02-28,-0.051513325048563,0.027805214195475,0
2021-03-31,-0.0798558556157083,0.0453994810789946,0
2021-04-30,0.00683615890084477,0.0529103747077295,0
2021-05-31,-0.0717893131471257,0.00656614877856221,0
2021-06-30,0.166636867562448,0.0224273964874357,0
2021-07-31,-0.0824284243742285,0.0244124850389424,0
2021-08-31,0.0169166068821245,0.0297598639886902,0
2021-09-30,-0.0942390955514069,-0.0466055179144764,0
2021-10-31,0.0972586103254149,0.0701634294710445,0
2021-11-30,-0.128545457126934,-0.00803483431151553,0
2021-12-31,-0.0976357881029237,0.0462478970594249,1e-04
2022-01-31,-0.2025583712881,-0.0527412578699878,0
2022-02-28,-0.0657563205833275,-0.0295170705863385,0
2022-03-31,-0.0593160731766135,0.0375905001509809,0
2022-04-30,-0.289032980426021,-0.0877691561186946,0
2022-05-31,-0.0645024730136194,0.00225731112484939,3e-04
2022-06-30,-0.0954864781041559,-0.0824604631775933,6e-04
2022-07-31,0.131644913013196,0.0920873266538305,8e-04
2022-08-31,-0.0720141382510946,-0.0408017269952206,0.0019
2022-09-30,-0.0990927542772917,-0.0924461513043423,0.0019
2022-10-31,0.0145772894949967,0.081275807098226,0.0023
2022-11-30,-0.0208985743892482,0.055591564083973,0.0029
2022-12-31,-0.166488811712359,-0.0576283215814511,0.0033
2023-01-31,0.278169060690965,0.0628873547870545,0.0035
2023-02-28,-0.00776363290971938,-0.0251424331720582,0.0034
2023-03-31,0.0181726780620612,0.0370774713846471,0.0036
2023-04-30,-0.10956873497844,0.0159751943353568,0.0035
2023-05-31,0.127227217880024,0.00461609163551513,0.0036
2023-06-30,0.0901457304295801,0.0647998243728178,0.004
2023-07-31,0.142954270437793,0.0327332296159484,0.0045
2023-08-31,-0.132804814840625,-0.0162519969980605,0.0045
